,hotel_id,homestay_name,area,region,place,price,amenities,price_type
30,30,Amazing Studio Apartments near Candolim Beach Goa,candolim,north goa,goa,2000,"['Fridge', 'Hot water', 'Balcony', 'essentials', 'TV', 'Room Service', 'Garden', 'Free Parking', 'Kitchen']",budget
31,31,Venus Villa on Candolim,candolim,north goa,Goa,38662,"['Wireless Internet', 'Air Conditioner', 'Fire Safety', 'Disabled Friendly', 'Family/Kid Friendly', 'Breakfast', 'safety equipments', 'Smoking Allowed', 'First Aid', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",luxury
32,32,Villa Vagator,vagator,north goa,Goa,30000,"['Air Conditioner', 'Family/Kid Friendly', 'First Aid', 'essentials', 'TV']",luxury
33,33,Artisanale Saligao,saligao,north goa,Goa,8500,"['Wireless Internet', 'Air Conditioner', 'Pet Friendly', 'Disabled Friendly', 'Family/Kid Friendly', 'Smoking Allowed', 'essentials', 'TV', 'Dryer', 'Free Parking', 'Kitchen']",comfort
34,34,Villa Britona,penha de frança,unknown,Goa,45000,"['Wireless Internet', 'Air Conditioner', 'Fire Safety', 'Disabled Friendly', 'Family/Kid Friendly', 'Breakfast', 'safety equipments', 'First Aid', 'essentials', 'TV', 'Swimming Pool']",luxury
35,35,Chalet Villa in Candolim,candolim,north goa,Goa,5500,"['Wireless Internet', 'Air Conditioner', 'Pet Friendly', 'Family/Kid Friendly', 'Breakfast', 'Smoking Allowed', 'First Aid', 'essentials', 'Free Parking', 'Kitchen']",comfort
36,36,Villa Morjim,morjim,unknown,Goa,74880,"['Wireless Internet', 'Air Conditioner', 'washer', 'Fire Safety', 'Hot water', 'Disabled Friendly', 'Family/Kid Friendly', 'Breakfast', 'Smoking Allowed', 'First Aid', 'essentials', 'TV', 'Kitchen', 'Suitable for Events']",luxury
37,37,"Beautiful Heritage Home, North Goa",marra,unknown,Goa,25000,"['Air Conditioner', 'Fire Safety', 'safety equipments', 'First Aid', 'essentials', 'TV']",luxury
38,38,Artisinale Benaulim,navelim,unknown,Goa,8500,"['Wireless Internet', 'Air Conditioner', 'washer', 'Pet Friendly', 'Family/Kid Friendly', 'Smoking Allowed', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",comfort
39,39,Villa Arpora,arpora,unknown,Goa,40960,"['Wireless Internet', 'Air Conditioner', 'Room Heating', 'washer', 'Fire Safety', 'Family/Kid Friendly', 'Breakfast', 'Smoking Allowed', 'First Aid', 'essentials', 'TV', 'Dryer', 'Free Parking', 'Kitchen', 'Swimming Pool']",luxury
40,40,Arco Iris 200 Yr Heritage Homestay,curtorim,unknown,Goa,20000,"['Wireless Internet', 'Air Conditioner', 'washer', 'Pet Friendly', 'Family/Kid Friendly', 'Breakfast', 'First Aid', 'essentials', 'TV', 'Dryer', 'Free Parking', 'Kitchen', 'Suitable for Events']",luxury
41,41,3BHK Boutique Villa - Villa de Arte,verem,unknown,Goa,7400,"['Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Smoking Allowed', 'First Aid', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",comfort
42,42,Casa Bougainvillea,aldona,unknown,Goa,10000,"['Air Conditioner', 'washer', 'Pet Friendly', 'Family/Kid Friendly', 'Smoking Allowed', 'First Aid', 'essentials', 'TV', 'Dryer', 'Free Parking', 'Kitchen']",comfort
43,43,SAMAARA VILLAS,calangute,north goa,Goa,15000,"['Wireless Internet', 'Air Conditioner', 'washer', 'Family/Kid Friendly', 'Breakfast', 'Smoking Allowed', 'essentials', 'TV', 'Dryer', 'Free Parking', 'Kitchen', 'Swimming Pool']",comfort
44,44,Villa la gitana,nerul,unknown,Goa,30000,"['Wireless Internet', 'Air Conditioner', 'Room Heating', 'washer', 'Fire Safety', 'Hot water', 'Safety Equipments', 'Family/Kid Friendly', 'Breakfast', 'safety equipments', 'First Aid', 'Dryer', 'TV', 'Free Parking', 'essentials', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",luxury
45,45,Villa Casa Baga,baga,north goa,Goa,20000,"['Wireless Internet', 'Air Conditioner', 'Room Heating', 'Family/Kid Friendly', 'First Aid', 'essentials', 'TV', 'Free Parking', 'Suitable for Events', 'Swimming Pool']",luxury
46,46,Aashyana Lakhanpal Villa,candolim,north goa,Goa,105621,"['Wireless Internet', 'Air Conditioner', 'Fire Safety', 'Disabled Friendly', 'Family/Kid Friendly', 'Breakfast', 'Smoking Allowed', 'First Aid', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",luxury
47,47,Heritage Goan Villa w/ Private Pool,vagator,north goa,Goa,29599,"['Wireless Internet', 'Air Conditioner', 'washer', 'Fire Safety', 'Family/Kid Friendly', 'Breakfast', 'First Aid', 'essentials', 'TV', 'Dryer', 'Free Parking', 'Kitchen', 'Suitable for Events', 'Swimming Pool']",luxury
48,48,Artisanale Colvale,chikhli,unknown,Goa,7500,"['Wireless Internet', 'Air Conditioner', 'Family/Kid Friendly', 'Breakfast', 'Smoking Allowed', 'First Aid', 'essentials', 'Free Parking']",comfort
49,49,A Portuguese Homestay near Baga,bastora,unknown,Goa,17500,"['Wireless Internet', 'washer', 'Pet Friendly', 'Family/Kid Friendly', 'Breakfast', 'Smoking Allowed', 'First Aid', 'essentials', 'TV', 'Free Parking', 'Kitchen', 'Suitable for Events']",luxury
50,50,Jackies Daynite - A Wandertrails Stay ,vagator,north goa,goa,1625,"['Wireless Internet', 'Air Conditioner', 'Fire Safety', 'Hot water', ' Room Service', 'Laundry', 'TV', 'Kitchen']",budget
51,51,Brisa Do Mar - A Wandertrails Stay ,vagator,north goa,goa,2875,"['Wireless Internet', 'Air Conditioner', 'Hot water', ' Room Service', 'TV', 'Kitchen']",budget
52,52,A Portuguese-style home for a true Goan holiday! ,cansaulim,south goa,goa,2500,"['Wireless Internet', 'Air Conditioner', 'Hot water', ' Room Service', 'Power Backup', 'TV', 'Kitchen', 'Swimming Pool']",budget
53,53,Live the Goan way! Stay in Dona Paula ,dona paula,north goa,goa,7080,"['Wireless Internet', 'Air Conditioner', 'Activity Area', 'Fire Safety', 'Hot water', ' Room Service', 'Power Backup', 'Laundry', 'essentials', 'TV', 'Kitchen', 'Bathtub']",comfort
54,54,A homely dwelling for a Goan getaway in Candolim ,candolim,north goa,goa,941,"['Wireless Internet', 'essentials', 'TV', 'Hot water']",budget
55,55,A heritage stay in the colonial quarters of Panjim ,altinho,north goa,goa,3250,"['Wireless Internet', 'Air Conditioner', 'Fire Safety', 'Hot water', ' Room Service', 'Power Backup', 'Laundry', 'essentials', 'TV', 'Kitchen']",budget
56,56,"Unbridled charm with a touch of rustic, by the Mandovi river ",olaulim,bardez,goa,12160,"['Activity Area', 'Fire Safety', 'Hot water', 'Pet Friendly', 'Laundry', 'essentials', 'Kitchen', 'Swimming Pool']",comfort
57,57,A journey back in time - an Indo-Portuguese style homestay ,saligao,north goa,goa,3000,"['Wireless Internet', 'Air Conditioner', 'Activity Area', 'Fire Safety', 'Hot water', 'Laundry', 'essentials', 'TV', 'Kitchen']",budget
58,58,A homestay with an exquisite colonial charm in Panaji ,altinho,north goa,goa,2950,"['Wireless Internet', 'Air Conditioner', 'Hot water', 'Laundry', 'essentials']",budget
59,59,A simple homestay in Goa on the beautiful Palolem beach ,palolem,south goa,goa,5882,"['Wireless Internet', 'Air Conditioner', 'Activity Area', 'Fire Safety', 'Hot water', ' Room Service', 'Power Backup', 'Laundry', 'essentials', 'TV', 'Kitchen']",comfort
60,60,Rustic homestay in Candolim of North Goa ,candolim,north goa,goa,2941,"['Wireless Internet', 'Air Conditioner', 'Fire Safety', 'Hot water', ' Room Service', 'Power Backup', 'Laundry', 'essentials', 'TV', 'Kitchen']",budget
61,61,A homestay in Goa - Portuguese charm and hospitality in Assagao ,assagao,north goa,goa,2800,"['Wireless Internet', 'Air Conditioner', 'Fire Safety', 'Hot water', 'Pet Friendly', ' Room Service', 'Power Backup', 'Laundry', 'essentials', 'Kitchen']",budget
62,62,Stay in the 19th Century Homestay ,margao,south goa,goa,5900,"['Wireless Internet', 'Air Conditioner', 'Activity Area', 'Fire Safety', 'Hot water', 'Power Backup', 'Laundry', 'essentials', 'Kitchen']",comfort
63,63,Homestay to enjoy the carnival spirit of Baga beach! ,baga,north goa,goa,1300,"['Wireless Internet', 'Air Conditioner', 'Hot water', ' Room Service', 'Power Backup', 'Laundry', 'essentials', 'TV', 'Kitchen']",budget
64,64,A Goan homestay near the serene beach of Calangute ,calangute,north goa,goa,1250,"['Wireless Internet', 'Air Conditioner', 'Hot water', ' Room Service', 'Power Backup', 'Laundry', 'essentials', 'TV', 'Kitchen']",budget
